"words","avg_points","total_points","quantity"
"ounce",91.071,1275,14
"era",91.071,1275,14
"vista",91.069,2641,29
"walk",91.068,4007,44
"hoisin",91.068,4007,44
"imposing",91.067,2732,30
"venge",91.067,1366,15
"envelope",91.065,2823,31
"cellar",91.064,151804,1667
"john",91.063,5737,63
"velvet",91.062,23676,260
"single-parcel",91.062,1457,16
"dubrul",91.062,1457,16
"sagemoor",91.061,3005,33
"unleashes",91.059,3096,34
"alluring",91.057,41886,460
"belongs",91.057,3187,35
"conifer",91.056,1639,18
"lip-smackingly",91.054,5099,56
"margaux",91.053,6920,76
"elevates",91.053,3460,38
"",91.05,489578,5377
"schisty",91.05,3642,40
"respect",91.05,1821,20
"chapoutier",91.05,1821,20
