"words","avg_points","total_points","quantity"
"boost",87.982,9766,111
"tell",87.982,9678,110
"hope",87.982,4927,56
"front",87.981,120798,1373
"merlot-based",87.98,4487,51
"side",87.977,190119,2161
"muscadelle",87.975,3519,40
"fermenting",87.975,3519,40
"carry",87.974,128442,1460
"related",87.973,6510,74
"wide",87.969,36683,417
"courses",87.969,2815,32
"crowd-pleasing",87.968,5542,63
"took",87.968,5454,62
"counties",87.968,2727,31
"virtues",87.967,2639,30
"priced",87.966,23575,268
"fits",87.965,9940,113
"tank",87.965,5014,57
"country",87.963,11963,136
"red-fruited",87.963,4750,54
"help",87.962,41518,472
"pumping",87.962,2287,26
"grapeseed",87.962,2287,26
"pie-cherry",87.96,2199,25
"fatter",87.958,2111,24
"bois",87.958,2111,24
"suggestions",87.957,28586,325
"kitchen-sink",87.957,2023,23
"method",87.956,3958,45
"italy",87.954,57962,659
"consumed",87.954,15392,175
"gardenia",87.954,5717,65
"cheeses",87.953,26210,298
"leathery",87.952,99738,1134
"saignée",87.952,1847,21
"charbono",87.952,1847,21
"chief",87.95,3518,40
"alcohol",87.949,288999,3286
"subdued",87.948,75108,854
"indigenous",87.947,14863,169
"indicate",87.947,8355,95
"describes",87.947,3342,38
"drunk",87.946,52416,596
"maybe",87.945,30429,346
"leans",87.945,14511,165
"verdicchio",87.944,4749,54
"morellino",87.943,3078,35
"sauced",87.941,1495,17
"wear",87.938,1407,16
"substitute",87.938,1407,16
"chuck",87.938,1407,16
"char-broiled",87.938,1407,16
"advance",87.938,1407,16
"toward",87.936,79318,902
"our",87.936,4133,47
"greek",87.936,4133,47
"widely",87.934,19873,226
"maule",87.933,2638,30
"filter",87.933,2638,30
"smoky-sweet",87.933,1319,15
"gaps",87.933,1319,15
"cliff",87.933,1319,15
"cat",87.933,1319,15
"cadillac",87.933,1319,15
"entry-level",87.932,19345,220
"wood-driven",87.931,2550,29
"curiosity",87.931,2550,29
"little-known",87.929,4924,56
"trepat",87.929,1231,14
"terravant",87.929,1231,14
"proceeds",87.929,1231,14
"brace",87.929,1231,14
"stone-fruit",87.928,36666,417
"nettle",87.928,13453,153
"looking",87.928,13365,152
"tropical-fruit",87.928,9760,111
"exceedingly",87.928,6067,69
"houses",87.927,4836,55
"italian",87.926,39127,445
"challenges",87.926,2374,27
"snap",87.925,18640,212
"tending",87.923,1143,13
"perricone",87.923,1143,13
"crackling",87.923,1143,13
"grainy",87.922,35081,399
"define",87.922,20222,230
"frothy",87.921,23475,267
"campania",87.921,3341,38
"atlantic",87.921,3341,38
"sweet-smelling",87.918,4308,49
"excess",87.917,5275,60
"enters",87.917,4220,48
"someone",87.917,1055,12
"rub",87.917,1055,12
"evaluate",87.917,1055,12
"dessert-style",87.917,1055,12
"baja",87.917,1055,12
"woody",87.914,91518,1041
"copper",87.914,9231,105
"albeit",87.914,8176,93
"disposition",87.912,2989,34
"lightly",87.911,304347,3462
"vitality",87.911,10901,124
"seco",87.909,2901,33
"setúbal",87.909,1934,22
"canelli",87.909,1934,22
"organically-grown",87.909,967,11
"just-in-time",87.909,967,11
"expense",87.909,967,11
"charry",87.909,967,11
"canapés",87.909,967,11
"abouriou",87.909,967,11
"157%",87.909,967,11
"argentina",87.908,6681,76
"melons",87.904,6417,73
"oranges",87.902,28832,328
"carob",87.902,26898,306
"option",87.902,4483,51
"didnt",87.902,3604,41
"bubbles",87.9,46587,530
"dissipate",87.9,3516,40
"shed",87.9,1758,20
"syrah-like",87.9,879,10
"projects",87.9,879,10
"parellada",87.9,879,10
"overtakes",87.9,879,10
"obscured",87.9,879,10
"northeastern",87.9,879,10
"incongruous",87.9,879,10
"fifty-fifty",87.9,879,10
"derivative",87.9,879,10
"chiroubles",87.9,879,10
"pecorino",87.899,6065,69
"pungent",87.898,41400,471
"verdelho",87.897,5098,58
"pale-colored",87.895,3340,38
"happen",87.895,1670,19
"prevail",87.893,2461,28
"control",87.891,14502,165
"chenin",87.89,24873,283
"acid",87.889,66796,760
"member",87.889,1582,18
"unapologetic",87.889,791,9
"testify",87.889,791,9
"servadou",87.889,791,9
"rhone",87.889,791,9
"piques",87.889,791,9
"pascal",87.889,791,9
"openness",87.889,791,9
"montefalco",87.889,791,9
"locust",87.889,791,9
"curries",87.889,791,9
"commitment",87.889,791,9
"cards",87.889,791,9
"bump",87.889,791,9
"davola",87.886,27772,316
"grapefruity",87.886,3867,44
"max",87.885,4570,52
"wash",87.883,17313,197
"unusual",87.882,73206,833
"showed",87.882,2988,34
"seltzer",87.882,1494,17
"sangiovese-based",87.881,3691,42
"less",87.877,69247,788
"probably",87.875,40071,456
"national",87.875,2812,32
"twinge",87.875,1406,16
"italian-inspired",87.875,1406,16
"endnote",87.875,1406,16
"basil",87.871,12302,140
"sugar",87.868,162117,1845
"leave",87.868,51315,584
"overt",87.868,14674,167
"approaches",87.867,1318,15
"friendly",87.866,70644,804
"alcoholic",87.866,15113,172
"came",87.866,5887,67
"wispy",87.864,1933,22
"chime",87.864,1933,22
"not",87.862,709749,8078
"kind",87.861,32948,375
"necessarily",87.861,3163,36
"work",87.859,43754,498
"feed",87.857,9840,112
"grittiness",87.857,2460,28
"desirable",87.857,1230,14
"berry-like",87.857,1230,14
"affordable",87.855,24863,283
"dominate",87.853,101910,1160
"syrah-based",87.853,2987,34
"corvina",87.852,7116,81
"furry",87.852,5359,61
"wood-laden",87.852,2372,27
"eggs",87.852,2372,27
"friends",87.85,5271,60
"mid-2017",87.85,1757,20
"mauve",87.85,1757,20
"double",87.85,1757,20
"craggy",87.85,1757,20
"blanc",87.849,249667,2842
"pungency",87.848,4041,46
"sensations",87.846,43484,495
"sicily",87.846,12562,143
"rueda",87.846,2284,26
"kicking",87.846,2284,26
"vittoria",87.846,1142,13
"teeters",87.846,1142,13
"seemingly",87.845,19853,226
"vigorous",87.844,10717,122
"leaning",87.844,6764,77
"match",87.841,40231,458
"aftertaste",87.84,248324,2827
"briskly",87.838,11946,136
"spin",87.833,8432,96
"returns",87.833,3162,36
"alliance",87.833,2108,24
"dealing",87.833,1581,18
"truth",87.833,1054,12
"onions",87.833,1054,12
"hundred",87.833,1054,12
"fragile",87.833,1054,12
"distribution",87.833,1054,12
"deli",87.833,1054,12
"catchy",87.833,1054,12
"would",87.831,159940,1821
"effervescent",87.831,6236,71
"semi-dry",87.829,3074,35
"unknown",87.828,2547,29
"salmon",87.826,28192,321
"tufo",87.826,2020,23
"quirky",87.824,1493,17
"frills",87.824,1493,17
"greeting",87.822,3952,45
"crackers",87.822,3952,45
"uncommon",87.821,4918,56
"scorching",87.821,2459,28
"leftovers",87.821,2459,28
"category",87.82,11680,133
"likeable",87.819,14051,160
"verge",87.818,2898,33
"spirit-soaked",87.818,966,11
"roditis",87.818,966,11
"norton",87.818,966,11
"grüners",87.818,966,11
"concha",87.818,966,11
"anyway",87.818,966,11
"creamed",87.816,13875,158
"finishes",87.815,316572,3605
"greater",87.815,14226,162
"hay",87.814,45839,522
"alert",87.812,7025,80
"homemade",87.812,1405,16
"caraway",87.812,1405,16
"bolt",87.812,1405,16
"after-dinner",87.812,1405,16
"clarity",87.811,14840,169
"zip",87.811,8342,95
"medium-full",87.811,3249,37
"detract",87.811,3249,37
"button",87.81,3688,42
"indicative",87.81,1844,21
"pit",87.809,17035,194
"crowd",87.808,13698,156
"replaced",87.808,2283,26
"sweet",87.807,1087925,12390
"exactly",87.804,9395,107
"medium-bodied",87.803,230308,2623
"profile",87.803,78584,895
"fans",87.802,26604,303
"llc",87.8,3951,45
"mourvedre",87.8,2195,25
"taster",87.8,1756,20
"trajadura",87.8,1317,15
"chubby",87.8,1317,15
"perceived",87.8,878,10
"paella",87.8,878,10
"overlaying",87.8,878,10
"fer",87.8,878,10
"malvasia",87.798,23091,263
"deals",87.797,15101,172
"forceful",87.797,11677,133
"limited",87.795,24846,283
"burned",87.795,3863,44
"oak-infused",87.794,2985,34
"summer",87.793,72166,822
"beetroot",87.791,3775,43
"attempt",87.789,3336,38
"coffee-like",87.789,1668,19
"candies",87.786,3687,42
"fuzzy",87.786,2458,28
"tilt",87.786,1229,14
"mintiness",87.786,1229,14
"oiliness",87.783,2019,23
"lawn",87.783,2019,23
"almost-sweet",87.78,4389,50
"sitting",87.78,3599,41
"dissipates",87.778,1580,18
"undergoes",87.778,790,9
"riley",87.778,790,9
"research",87.778,790,9
"gewürztraminers",87.778,790,9
"dried-apple",87.778,790,9
"dialect",87.778,790,9
"calina",87.778,790,9
"blackberry-pie",87.778,790,9
"alley",87.778,790,9
"aggression",87.778,790,9
"raisin",87.775,123236,1404
"soon",87.774,138771,1581
"player",87.774,2721,31
"squirt",87.771,4213,48
"medium-dry",87.771,4213,48
"sushi",87.77,5354,61
"custardy",87.769,2282,26
"ultra-ripe",87.769,1141,13
"mouth-numbing",87.769,1141,13
"cola-like",87.769,1141,13
"citrus-",87.769,1141,13
"amaretto",87.769,1141,13
"medium",87.767,241359,2750
"hedgerow",87.767,3774,43
"barbera",87.765,38441,438
"resembles",87.765,4476,51
"old-school",87.763,3335,38
"wool",87.762,1843,21
"opposed",87.762,1843,21
"blasts",87.762,1843,21
"improves",87.761,4037,46
"sparkler",87.76,64679,737
"tapas",87.759,2545,29
"citrus-driven",87.754,5002,57
"tempranillo",87.752,61251,698
"weather",87.75,4914,56
"gros",87.75,4563,52
"orange-blossom",87.75,1755,20
"downside",87.75,1755,20
"swamps",87.75,1404,16
"much-needed",87.75,1404,16
"speed",87.75,1053,12
"rome",87.75,1053,12
"department",87.75,1053,12
"committed",87.75,1053,12
"cob",87.75,1053,12
"distinctly",87.747,16321,186
"oak-based",87.746,12460,142
"price",87.745,171015,1949
"past",87.744,37730,430
"saved",87.744,3422,39
"oaky",87.743,246296,2807
"standing",87.742,2720,31
"nice",87.739,238474,2718
"hide",87.738,11406,130
"spain",87.738,9037,103
"briar",87.738,5352,61
"paired",87.737,16670,190
"stocky",87.737,3334,38
"poking",87.737,3334,38
"listrac",87.737,1667,19
"job",87.735,24478,279
"essentially",87.735,4299,49
"cantaloupe",87.734,22460,256
"trebbiano",87.733,10177,116
"unpretentious",87.733,1316,15
"moniker",87.733,1316,15
"explain",87.733,1316,15
"ultimately",87.732,22547,257
"announce",87.732,15704,179
"gewürztraminer",87.731,30355,346
"unexpectedly",87.731,2281,26
"albariño",87.73,15265,174
"taste",87.729,168527,1921
"loureiro",87.727,2895,33
"xavier",87.727,965,11
"sangioveses",87.727,965,11
"purplish",87.727,965,11
"propelled",87.727,965,11
"prevents",87.727,965,11
"pepper-infused",87.727,965,11
"doc",87.727,965,11
"grab",87.725,8948,102
"salta",87.724,2544,29
"heavier",87.722,6930,79
"vintage-dated",87.722,1579,18
"stalks",87.722,1579,18
"hard",87.719,207281,2363
"bouncy",87.719,12807,146
"weve",87.719,2807,32
"sparkling",87.716,75173,857
"wanting",87.716,5877,67
"settles",87.715,15087,172
"spun",87.714,2456,28
"passion-fruit",87.714,1842,21
"boozy",87.714,1842,21
"barton",87.714,1842,21
"rowdy",87.714,1228,14
"press",87.714,1228,14
"minimally",87.714,1228,14
"semillon",87.712,4561,52
"atypical",87.709,4824,55
"ciliegiolo",87.708,4210,48
"caught",87.708,2105,24
"wild-strawberry",87.706,1491,17
"tarts",87.706,1491,17
"pot",87.706,1491,17
"oak-dominated",87.706,1491,17
"high-strung",87.706,1491,17
"map",87.7,3508,40
"weightiness",87.7,1754,20
"mentholated",87.7,1754,20
"distributed",87.7,1754,20
"treacle",87.7,877,10
"peach-like",87.7,877,10
"music",87.7,877,10
"mash",87.7,877,10
"corpulent",87.7,877,10
"billed",87.7,877,10
"anticipate",87.7,877,10
"accordingly",87.7,877,10
"seems",87.699,191448,2183
"reasonable",87.698,7542,86
"dominating",87.697,20521,234
"ceviche",87.696,2017,23
"genuine",87.695,8331,95
"fall",87.692,17100,195
"pricey",87.692,3420,39
"browning",87.692,2280,26
"makeup",87.692,1140,13
"invigorate",87.692,1140,13
"barrel-based",87.692,1140,13
"pale",87.691,59893,683
"vanilla-cream",87.688,1403,16
"positive",87.686,6138,70
"ponderous",87.686,4472,51
"varietally",87.685,17274,197
"angularity",87.684,1666,19
"lost",87.683,14117,161
"frappato",87.683,3595,41
"sweeter",87.682,19027,217
"either",87.682,11574,132
"tapering",87.682,1929,22
"imports",87.681,6313,72
"beaujolais",87.679,18325,209
"blows",87.679,6839,78
"neutral",87.676,66809,762
"commendable",87.676,2981,34
"clean",87.675,490802,5598
"lose",87.675,7014,80
"difference",87.675,3507,40
"rondinella",87.674,3770,43
"spiky",87.673,4822,55
"resin",87.672,43047,491
"drops",87.671,6663,76
"definition",87.67,16482,188
"accompaniment",87.667,8153,93
"aussie",87.667,3156,36
"vaz",87.667,2893,33
"cigarbox",87.667,2367,27
"disparate",87.667,2104,24
"identify",87.667,1841,21
"festive",87.667,1578,18
"verges",87.667,1315,15
"multigrape",87.667,1315,15
"junior",87.667,1315,15
"well-suited",87.667,1052,12
"protein",87.667,1052,12
"patagonian",87.667,1052,12
"mixed-berry",87.667,1052,12
"limarí",87.667,1052,12
"higher-priced",87.667,1052,12
"green-pepper",87.667,1052,12
"grapefruit-like",87.667,1052,12
"confuse",87.667,1052,12
"assess",87.667,1052,12
"machine",87.667,789,9
"intrusion",87.667,789,9
"green-peppercorn",87.667,789,9
"cs",87.667,789,9
"served",87.659,11834,135
"sweet-seeming",87.659,3857,44
"sharp-edged",87.658,3331,38
"bubbly",87.654,26121,298
"apple-skin",87.647,4470,51
"valley-based",87.647,1490,17
"mid-2015",87.647,1490,17
"jumble",87.647,1490,17
"butterscotchy",87.647,1490,17
"teetering",87.643,1227,14
"gnocchi",87.643,1227,14
"cerasuolo",87.643,1227,14
"gooseberries",87.641,8063,92
"mostly",87.64,62575,714
"tocai",87.639,3155,36
"peppermint",87.638,6047,69
"müller-thurgau",87.636,1928,22
"yellow-plum",87.636,964,11
"vongole",87.636,964,11
"panebianco",87.636,964,11
"loganberries",87.636,964,11
"keuka",87.636,964,11
"almond-flavored",87.636,964,11
"grinds",87.635,6485,74
"tuberose",87.633,4294,49
"fruit-skin",87.632,1665,19
"tongue-drying",87.63,2366,27
"drink-now",87.629,3067,35
"dried-fruit",87.629,3067,35
"red-berry",87.627,71854,820
"soft",87.625,1186180,13537
"brands",87.625,3505,40
"facility",87.625,1402,16
"watermelon",87.624,37240,425
"feel",87.622,357675,4082
"choice",87.622,26900,307
"water",87.622,21555,246
"soda",87.621,27250,311
"heartier",87.619,3680,42
"nor",87.618,11478,131
"veering",87.616,7535,86
"relaxed",87.615,3417,39
"swamp",87.615,1139,13
"crumbs",87.615,1139,13
"blunt",87.615,1139,13
"black-",87.615,1139,13
"greens",87.614,11127,127
"confectionery",87.614,4994,57
"cabinet",87.613,5432,62
"no-nonsense",87.611,1577,18
"imagination",87.611,1577,18
"fruity",87.61,829312,9466
"chill",87.61,7184,82
"overly",87.605,46781,534
"direct",87.603,47481,542
"rusticity",87.602,7271,83
"somewhere",87.6,6132,70
"baked-fruit",87.6,2190,25
"mild-mannered",87.6,1314,15
"holes",87.6,1314,15
"waterbrook",87.6,876,10
"pio",87.6,876,10
"lime-tinged",87.6,876,10
"domaines",87.6,876,10
"demi-sec",87.6,876,10
"crumb",87.6,876,10
"crimson",87.6,876,10
"cline",87.6,876,10
"calms",87.6,876,10
"brined",87.6,876,10
"dose",87.599,18571,212
"fade",87.598,22863,261
"suit",87.598,10249,117
"higher",87.594,19183,219
"sticks",87.59,6832,78
"light",87.588,996398,11376
"gaglioppo",87.588,1489,17
"agreeable",87.583,2102,24
"shoe",87.58,7707,88
"border",87.579,4992,57
"vermentino",87.578,15764,180
"pinotage",87.578,7269,83
"heat",87.577,104917,1198
"piedirosso",87.577,2277,26
"score",87.576,17340,198
"whatever",87.574,4116,47
"trying",87.571,7356,84
"foods",87.57,40720,465
"needed",87.569,10771,123
"lunch",87.569,4466,51
"vietnamese",87.567,5867,67
"unoaked",87.565,23555,269
"affordably",87.565,2014,23
"too",87.562,231514,2644
"soave",87.562,9194,105
"cross",87.562,4203,48
"ricotta",87.562,1401,16
"gorgonzola",87.562,1401,16
"cab-based",87.562,1401,16
"light-bodied",87.56,68997,788
"barrel-driven",87.559,2977,34
"disappear",87.558,3765,43
"pushy",87.557,7705,88
"lemonade",87.557,7705,88
"blazing",87.556,4728,54
"bergerac",87.556,1576,18
"welcomed",87.556,788,9
"transfer",87.556,788,9
"sells",87.556,788,9
"sandi",87.556,788,9
"ruffle",87.556,788,9
"hawaiian",87.556,788,9
"fronton",87.556,788,9
"burnt-toast",87.556,788,9
"tend",87.55,5253,60
"noir-like",87.55,1751,20
"evolved",87.548,30379,347
"light-hearted",87.545,2889,33
"easy-to-like",87.545,2889,33
"buck",87.545,2889,33
"sting",87.545,1926,22
"sleepy",87.545,963,11
"cognac",87.545,963,11
"buy",87.543,23374,267
"rather",87.542,202047,2308
"france",87.542,10330,118
"anything",87.538,21972,251
"similarly",87.538,12518,143
"manzoni",87.538,2276,26
"youngster",87.538,1138,13
"wedding",87.538,1138,13
"mauzac",87.538,1138,13
"lacing",87.538,1138,13
"inspiration",87.538,1138,13
"global",87.538,1138,13
"fresh-tasting",87.538,1138,13
"fatness",87.538,1138,13
"director",87.538,1138,13
"coarseness",87.538,1138,13
"plain",87.536,6040,69
"beets",87.536,4902,56
"scope",87.536,2451,28
"difficulties",87.536,2451,28
"rugged",87.534,30987,354
"peanuts",87.533,2626,30
"fun",87.53,42802,489
"normal",87.529,7615,87
"sandpaper",87.529,2976,34
"y",87.529,1488,17
"white-flower",87.526,4989,57
"citrus-flavored",87.526,3326,38
"pliant",87.522,6039,69
"peninsula",87.522,2013,23
"niellucciu",87.522,2013,23
"clamp",87.522,2013,23
"jammy",87.521,242345,2769
"red-plum",87.521,14791,169
"overwhelm",87.521,8402,96
"crusty",87.521,8402,96
"dries",87.521,4201,48
"melted",87.52,22405,256
"tejo",87.52,2188,25
"pedro",87.52,2188,25
"froth",87.519,2363,27
"loud",87.518,12340,141
"akin",87.518,9802,112
"greco",87.518,4901,56
"heaping",87.517,2538,29
"broiled",87.517,2538,29
"lightest",87.516,13740,157
"zin",87.514,72987,834
"attractive",87.511,334906,3827
"drying",87.511,93024,1063
"normally",87.511,8226,94
"côtes",87.511,8051,92
"feeling",87.51,57494,657
"medium-length",87.51,12514,143
"pushed",87.51,4463,51
"screwcap",87.509,72895,833
"red-currant",87.509,25290,289
"tartaric",87.509,9276,106
"stewed",87.508,65106,744
"turning",87.508,16539,189
"pair",87.505,213687,2442
"popular",87.505,27214,311
"compost",87.502,20388,233
"covered",87.5,4550,52
"antão",87.5,2800,32
"50/50",87.5,2625,30
"appetizer",87.5,2450,28
"tumble",87.5,2275,26
"interested",87.5,1400,16
"gulp",87.5,1400,16
"hogue",87.5,1050,12
"bucelas",87.5,1050,12
"blender",87.5,1050,12
"wine-like",87.5,875,10
"rough-edged",87.5,875,10
"missed",87.5,875,10
"feudo",87.5,875,10
"cohort",87.5,875,10
"chardonnay:",87.5,875,10
"bunched",87.5,875,10
"bull",87.5,875,10
"melon",87.495,366954,4194
"dishes",87.493,72532,829
"hair",87.491,4637,53
"garganega",87.49,4462,51
"clench",87.489,3937,45
"imported",87.488,25984,297
"superiore",87.487,10061,115
"listed",87.486,6474,74
"grigios",87.483,2537,29
"confectionary",87.481,13997,160
"bar",87.48,10760,123
"tries",87.48,2187,25
"salsa",87.476,1837,21
"perfumy",87.476,1837,21
"freshening",87.474,1662,19
"appearing",87.474,1662,19
"scratch",87.471,1487,17
"eventually",87.468,21692,248
"orange-pink",87.467,3936,45
"rock-hard",87.467,2624,30
"vanilla-infused",87.467,1312,15
"green-melon",87.467,1312,15
"feteasca",87.467,1312,15
"it’s",87.466,14082,161
"muscat",87.465,21079,241
"quickly",87.464,76881,879
"resinous",87.464,2449,28
"softest",87.462,2274,26
"con",87.462,1137,13
"suitable",87.459,3236,37
"screw",87.459,3236,37
"type",87.457,10145,116
"compensate",87.455,2886,33
"taper",87.455,1924,22
"cheap",87.455,1924,22
"woodshop",87.455,962,11
"smothers",87.455,962,11
"muskmelon",87.455,962,11
"merchant",87.455,962,11
"identical",87.455,962,11
"cherry-",87.455,962,11
"fiano",87.452,5422,62
"cap",87.452,5422,62
"canteloupe",87.452,3673,42
"gamble",87.452,2711,31
"commercial",87.45,3498,40
"catch",87.45,3498,40
"bourgogne",87.45,1749,20
"green",87.448,790618,9041
"faint",87.448,33930,388
"consumption",87.446,10581,121
"bruised",87.446,5684,65
"mouth-drying",87.444,4722,54
"sparkle",87.444,2361,27
"georgian",87.444,2361,27
"sweetens",87.444,1574,18
"lemon-flavored",87.444,1574,18
"rufina",87.444,787,9
"retail",87.444,787,9
"mint-chocolate",87.444,787,9
"idiosyncratic",87.444,787,9
"geared",87.444,787,9
"extent",87.444,787,9
"downhill",87.444,787,9
"copperish",87.444,787,9
"competitors",87.444,787,9
"beer-like",87.444,787,9
"dolcetto",87.442,9881,113
"quaffable",87.441,25358,290
"valpolicella",87.44,11717,134
"much",87.439,252962,2893
"verging",87.438,2798,32
"generate",87.438,2798,32
"fanciness",87.438,1399,16
"renders",87.436,3410,39
"nothing",87.435,44242,506
"patch",87.435,4022,46
"greener",87.435,4022,46
"attractively",87.429,37332,427
"lollipop",87.429,1224,14
"papaya",87.425,55515,635
"leyda",87.422,3934,45
"cafayate",87.421,1661,19
"boot",87.419,3759,43
"brunch",87.419,2710,31
"barbecued",87.417,9004,103
"reinforce",87.417,1049,12
"desiccated",87.409,1923,22
"dead",87.409,1923,22
"cranberry-like",87.409,1923,22
"well-priced",87.408,13286,152
"smacks",87.405,3234,37
"bead",87.404,4545,52
"citrusy",87.4,113708,1301
"excessive",87.4,9614,110
"rancher",87.4,3059,35
"ringing",87.4,2185,25
"unassuming",87.4,1748,20
"slim",87.4,1748,20
"potato",87.4,1748,20
"seashell",87.4,1311,15
"living",87.4,1311,15
"herbal-leaning",87.4,1311,15
"children",87.4,1311,15
"cheer",87.4,1311,15
"zealand-style",87.4,874,10
"winding",87.4,874,10
"tri-tip",87.4,874,10
"stopped",87.4,874,10
"menetou-salon",87.4,874,10
"magliocco",87.4,874,10
"excite",87.4,874,10
"carreau",87.4,874,10
"fair",87.399,25608,293
"castelão",87.394,6205,71
"yellow-apple",87.394,2884,33
"pea",87.393,10662,122
"stews",87.393,7778,89
"noticeably",87.391,4020,46
"penny",87.391,2010,23
"pear-flavored",87.385,2272,26
"covering",87.385,2272,26
"stated",87.385,1136,13
"aimed",87.385,1136,13
"roero",87.382,2971,34
"modestly",87.38,4369,50
"bears",87.377,15291,175
"brittle",87.377,6029,69
"ribs",87.375,11184,128
"weighed",87.375,1398,16
"ie",87.375,1398,16
"described",87.373,5155,59
"godello",87.372,3757,43
"matter",87.371,3058,35
"cherry-berry",87.37,14154,162
"woodiness",87.37,2359,27
"flowery",87.364,11270,129
"trails",87.364,1922,22
"saves",87.364,1922,22
"casting",87.364,961,11
"big-production",87.364,961,11
"grapy",87.363,25772,295
"sharp-toned",87.357,1223,14
"rustically",87.357,1223,14
"rated",87.357,1223,14
"plate",87.356,5154,59
"sbs",87.353,1485,17
"bianca",87.353,1485,17
"dabruzzo",87.35,1747,20
"sicilian",87.349,9259,106
"lazio",87.348,2009,23
"pineapples",87.346,41140,471
"beans",87.345,15198,174
"herb-infused",87.345,2533,29
"herbal",87.341,538896,6170
"shrimp",87.341,7948,91
"fortunately",87.34,8472,97
"airing",87.339,32752,375
"faintly",87.339,5415,62
"seemed",87.333,2358,27
"pale-pink",87.333,2096,24
"grade",87.333,1834,21
"override",87.333,1572,18
"invisible",87.333,1572,18
"introductory",87.333,1310,15
"ragù",87.333,1048,12
"formal",87.333,1048,12
"cherry-candy",87.333,1048,12
"accurate",87.333,1048,12
"varois",87.333,786,9
"sustaining",87.333,786,9
"surface-level",87.333,786,9
"palate-stimulating",87.333,786,9
"mutes",87.333,786,9
"mallorca",87.333,786,9
"jalapeno",87.333,786,9
"husk",87.333,786,9
"flatten",87.333,786,9
"entrée",87.333,786,9
"armagnac",87.333,786,9
"chicken",87.332,38688,443
"packaged",87.331,10305,118
"waxy",87.328,38599,442
"negroamaro",87.325,6986,80
"tomato",87.324,120158,1376
"overripeness",87.324,6462,74
"drawing",87.323,18949,217
"talc",87.323,8383,96
"seafood",87.32,32483,372
"ready-to-drink",87.318,15368,176
"pointed",87.318,11264,129
"trout",87.318,1921,22
"friuli",87.318,1921,22
"jolly",87.317,3580,41
"candied",87.316,217680,2493
"sweet-leaning",87.312,1397,16
"average",87.31,13795,158
"colorful",87.31,2532,29
"absence",87.308,2270,26
"thienpont",87.308,1135,13
"seaside",87.308,1135,13
"quotient",87.308,1135,13
"pad",87.308,1135,13
"braises",87.308,1135,13
"grass",87.301,77698,890
"green-fruit",87.301,7246,83
"revolve",87.3,1746,20
"sweetie",87.3,873,10
"platter",87.3,873,10
"nz",87.3,873,10
"inelegant",87.3,873,10
"basque",87.3,873,10
"sawmill",87.294,1484,17
"peppy",87.294,1484,17
"packaging",87.292,4190,48
"off-dry",87.291,101781,1166
"doesnt",87.29,130673,1497
"pervading",87.286,1222,14
"apparently",87.286,1222,14
"bubblegum",87.284,13529,155
"people",87.281,11172,128
"minty",87.278,94173,1079
"barbecue",87.278,46781,536
"cover",87.278,6284,72
"refresher",87.278,1571,18
"landing",87.278,1571,18
"chalonnaise",87.278,1571,18
"york",87.275,3491,40
"shop",87.273,3840,44
"reading",87.273,1920,22
"tintorera",87.273,960,11
"prodding",87.273,960,11
"laid-back",87.273,960,11
"justify",87.273,960,11
"clocking",87.273,960,11
"burnished",87.273,960,11
"146%",87.273,960,11
"heavily",87.272,32727,375
"lasagna",87.27,7767,89
"expectations",87.267,2618,30
"dropped",87.267,1309,15
"seem",87.264,89358,1024
"ripasso",87.264,9599,110
"granular",87.264,4625,53
"rice",87.263,1658,19
"snappy",87.259,53664,615
"cleansing",87.259,16841,193
"respectable",87.258,2705,31
"onion",87.257,6457,74
"untamed",87.257,3054,35
"fairly",87.256,97901,1122
"fish",87.256,28969,332
"masks",87.25,4886,56
"namely",87.25,3141,36
"bounce",87.25,3141,36
"rawness",87.25,2094,24
"revolves",87.25,1745,20
"plodding",87.25,1745,20
"blow",87.248,10906,125
"scour",87.246,12040,138
"chinese",87.246,11691,134
"aggressive",87.244,33938,389
"falling",87.244,3926,45
"variation",87.24,2181,25
"cleanliness",87.24,2181,25
"foam",87.239,10207,117
"catarratto",87.237,5147,59
"animal",87.235,27043,310
"tonic",87.235,24513,281
"verde",87.234,17534,201
"uncomplicated",87.233,15353,176
"poultry",87.231,12474,143
"gin",87.231,1134,13
"freshen",87.231,1134,13
"chunkiness",87.231,1134,13
"gamay",87.229,9159,105
"sell",87.227,1919,22
"michigan",87.227,1919,22
"$12",87.227,1919,22
"pickling",87.222,785,9
"fiore",87.222,785,9
"caladoc",87.222,785,9
"baixas",87.222,785,9
"audience",87.222,785,9
"accurately",87.222,785,9
"bubbling",87.22,4361,50
"geranium",87.22,3576,41
"fades",87.219,20671,237
"grassiness",87.218,4797,55
"attack",87.217,6018,69
"sauces",87.216,4448,51
"tails",87.214,1221,14
"coteaux",87.214,1221,14
"precede",87.213,13518,155
"cocktail",87.211,16134,185
"footing",87.208,2093,24
"gooseberry",87.207,48400,555
"regular",87.202,31044,356
"otherwise",87.2,57639,661
"offbeat",87.2,2180,25
"off-gold",87.2,1308,15
"holiday",87.2,1308,15
"whispy",87.2,872,10
"romagna",87.2,872,10
"mess",87.2,872,10
"apéritif",87.199,59121,678
"bready",87.198,14126,162
"reasonably",87.197,16829,193
"vinho",87.193,17613,202
"arinto",87.191,13253,152
"simpler",87.19,1831,21
"garnacha",87.189,33132,380
"fowl",87.188,2790,32
